timestamp,Soil_Moisture,Ambient_Temperature,Humidity,Light_Intensity,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Plant_Health_Status
2025-12-02 19:56:05,10.0,21.0,11,978.92,20,15,18,High Stress
2025-12-02 19:56:16,10.0,21.0,11,981.1,20,15,18,High Stress
2025-12-02 19:56:26,10.0,21.0,11,979.43,20,15,18,High Stress
2025-12-02 19:56:37,10.0,21.0,11,962.66,20,15,18,High Stress
2025-12-02 19:56:47,10.0,21.0,11,980.46,20,15,18,High Stress
2025-12-02 19:56:58,10.0,21.0,11,979.94,20,15,18,High Stress
2025-12-02 19:57:08,10.0,21.0,11,981.1,20,15,18,High Stress
2025-12-02 19:57:19,10.0,21.0,11,977.51,20,15,18,High Stress
2025-12-02 19:57:29,10.0,21.0,11,944.82,20,15,18,High Stress
2025-12-02 19:57:39,10.0,21.0,11,971.52,20,15,18,High Stress
2025-12-02 19:57:52,10.0,21.0,11,967.84,20,15,18,High Stress
2025-12-02 19:58:03,10.0,21.0,11,971.14,20,15,18,High Stress
2025-12-02 19:58:13,10.0,21.0,11,974.95,20,15,18,High Stress
2025-12-02 19:58:24,10.0,21.0,11,975.34,20,15,18,High Stress
2025-12-02 19:58:34,10.0,21.0,11,975.34,20,15,18,High Stress
2025-12-02 19:58:45,10.0,21.0,11,976.23,20,15,18,High Stress
2025-12-02 19:58:55,10.0,21.0,11,976.74,20,15,18,High Stress
2025-12-02 19:59:05,10.0,21.0,11,977.38,20,15,18,High Stress
2025-12-02 19:59:16,10.0,21.0,11,977.25,20,15,18,High Stress
2025-12-02 19:59:26,10.0,21.0,11,859.77,20,15,18,High Stress
2025-12-02 19:59:38,10.0,21.0,11,981.48,20,15,18,High Stress
2025-12-02 19:59:49,10.0,21.0,11,785.15,20,15,18,High Stress
2025-12-02 19:59:59,10.0,21.0,11,991.29,20,15,18,High Stress
2025-12-02 20:00:10,10.0,21.0,11,907.27,20,15,18,High Stress
2025-12-02 20:00:20,10.0,21.0,11,966.83,20,15,18,High Stress
2025-12-02 20:00:31,10.0,21.0,11,976.74,20,15,18,High Stress
2025-12-02 20:00:41,10.0,21.0,11,933.64,20,15,18,High Stress
2025-12-02 20:00:51,10.0,21.0,11,947.79,20,15,18,High Stress
2025-12-02 20:01:02,10.0,21.0,11,977.13,20,15,18,High Stress
2025-12-02 20:01:12,10.0,21.0,11,933.88,20,15,18,High Stress
